time;V(OSC);
4.56312e-06;4.97144;
4.56812e-06;4.97145;
4.57312e-06;4.97147;
4.57812e-06;4.97149;
4.58312e-06;4.97151;
4.58812e-06;4.97153;
4.59312e-06;4.97154;
4.59812e-06;4.97156;
4.60312e-06;4.97158;
4.60812e-06;4.9716;
4.61312e-06;4.97161;
4.61812e-06;4.97163;
4.62312e-06;4.97165;
4.62812e-06;4.97167;
4.63312e-06;4.97169;
4.63812e-06;4.9717;
4.64312e-06;4.97172;
4.64812e-06;4.97174;
4.65312e-06;4.97176;
4.65812e-06;4.97177;
4.66312e-06;4.97179;
4.66812e-06;4.97181;
4.67312e-06;4.97183;
4.67812e-06;4.97185;
4.68312e-06;4.97186;
4.68812e-06;4.97188;
4.69312e-06;4.9719;
4.69812e-06;4.97192;
4.70312e-06;4.97193;
4.70812e-06;4.97195;
4.71312e-06;4.97197;
4.71812e-06;4.97199;
4.72312e-06;4.972;
4.72812e-06;4.97202;
4.73312e-06;4.97204;
4.73812e-06;4.97206;
4.74312e-06;4.97207;
4.74812e-06;4.97209;
4.75312e-06;4.97211;
